,Temperature (° F),Actual,Historic Avg.,Record,Unnamed: 4,lat,lon,station_name,station_id,date
0,High Temp,12,33,56,,41.91,-87.78,North East Oak Park,KILOAKPA23,2-5-2018
1,Low Temp,-1,19,-17,,41.91,-87.78,North East Oak Park,KILOAKPA23,2-5-2018
2,Day Average Temp,6,26,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,2-5-2018
3,Precipitation,0.15,0.06,0.68,,41.91,-87.78,North East Oak Park,KILOAKPA23,2-5-2018
4,Month to Date,0.16,0.28,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,2-5-2018
5,Year to Date,1.07,2.34,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,2-5-2018
6,Heating Degree Days,59,39,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,2-5-2018
7,HDD Month to Date,229,196,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,2-5-2018
8,HDD Since July 1,3558,3692,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,2-5-2018
9,Cooling Degree Days,0,0,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,2-5-2018
10,CDD Month to Date,0,0,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,2-5-2018
11,CDD Year to Date,0,0,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,2-5-2018
12,Growing Degree Days,0,-,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,2-5-2018
13,Dew Point,2,-,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,2-5-2018
14,High,8,-,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,2-5-2018
15,Low,-8,-,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,2-5-2018
16,Average,2,-,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,2-5-2018
17,Max Wind Speed,13,-,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,2-5-2018
18,Visibility,10,-,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,2-5-2018
19,Sea Level Pressure,30.39,-,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,2-5-2018
20,Actual Time,10h 11m,7:00 AM,5:12 PM,,41.91,-87.78,North East Oak Park,KILOAKPA23,2-5-2018
21,Civil Twilight,,6:31 AM,5:41 PM,,41.91,-87.78,North East Oak Park,KILOAKPA23,2-5-2018
22,Nautical Twilight,,5:58 AM,6:14 PM,,41.91,-87.78,North East Oak Park,KILOAKPA23,2-5-2018
23,Astronomical Twilight,,5:25 AM,6:47 PM,,41.91,-87.78,North East Oak Park,KILOAKPA23,2-5-2018
24,Moon: waxing crescent,,-,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,2-5-2018
