,Temperature (° F),Actual,Historic Avg.,Record,Unnamed: 4,lat,lon,station_name,station_id,date
0,High Temp,13,32,64,,41.91,-87.78,North East Oak Park,KILOAKPA23,1-4-2018
1,Low Temp,2,19,-8,,41.91,-87.78,North East Oak Park,KILOAKPA23,1-4-2018
2,Day Average Temp,8,25,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,1-4-2018
3,Precipitation,1e-16,0.08,1.59,,41.91,-87.78,North East Oak Park,KILOAKPA23,1-4-2018
4,Month to Date,1e-16,0.31,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,1-4-2018
5,Year to Date,1e-16,0.31,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,1-4-2018
6,Heating Degree Days,57,40,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,1-4-2018
7,HDD Month to Date,242,159,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,1-4-2018
8,HDD Since July 1,2352,2410,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,1-4-2018
9,Cooling Degree Days,0,0,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,1-4-2018
10,CDD Month to Date,0,0,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,1-4-2018
11,CDD Year to Date,0,0,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,1-4-2018
12,Growing Degree Days,0,-,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,1-4-2018
13,Dew Point,-4,-,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,1-4-2018
14,High,-2,-,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,1-4-2018
15,Low,-6,-,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,1-4-2018
16,Average,-4,-,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,1-4-2018
17,Max Wind Speed,17,-,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,1-4-2018
18,Visibility,10,-,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,1-4-2018
19,Sea Level Pressure,30.4,-,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,1-4-2018
20,Actual Time,9h 14m,7:20 AM,4:34 PM,,41.91,-87.78,North East Oak Park,KILOAKPA23,1-4-2018
21,Civil Twilight,,6:48 AM,5:05 PM,,41.91,-87.78,North East Oak Park,KILOAKPA23,1-4-2018
22,Nautical Twilight,,6:13 AM,5:40 PM,,41.91,-87.78,North East Oak Park,KILOAKPA23,1-4-2018
23,Astronomical Twilight,,5:40 AM,6:14 PM,,41.91,-87.78,North East Oak Park,KILOAKPA23,1-4-2018
24,Moon: waning gibbous,,8:58 PM,10:20 AM,,41.91,-87.78,North East Oak Park,KILOAKPA23,1-4-2018
