,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Precip Accum,Condition
0,7:51 PM,76 F,69 F,79 %,W,6 mph,0 mph,29.5 in,0.0 in,0.0 in,Mostly Cloudy
1,8:51 PM,76 F,70 F,82 %,W,6 mph,0 mph,29.5 in,0.0 in,0.0 in,Mostly Cloudy
2,9:51 PM,76 F,70 F,82 %,SW,7 mph,0 mph,29.5 in,0.0 in,0.0 in,Mostly Cloudy
3,10:51 PM,75 F,70 F,84 %,SW,8 mph,0 mph,29.5 in,0.0 in,0.0 in,Partly Cloudy
4,11:51 PM,75 F,70 F,84 %,WNW,3 mph,0 mph,29.5 in,0.0 in,0.0 in,Partly Cloudy
5,12:51 AM,75 F,71 F,87 %,W,3 mph,0 mph,29.5 in,0.0 in,0.0 in,Partly Cloudy
6,1:51 AM,76 F,71 F,85 %,W,6 mph,0 mph,29.5 in,0.0 in,0.0 in,Partly Cloudy
7,2:51 AM,79 F,70 F,74 %,SW,6 mph,0 mph,29.5 in,0.0 in,0.0 in,Partly Cloudy
8,3:51 AM,83 F,72 F,69 %,WSW,7 mph,0 mph,29.5 in,0.0 in,0.0 in,Fair
9,4:51 AM,87 F,73 F,63 %,WNW,6 mph,0 mph,29.5 in,0.0 in,0.0 in,Fair
10,5:51 AM,89 F,71 F,55 %,VAR,6 mph,0 mph,29.5 in,0.0 in,0.0 in,Partly Cloudy
11,6:51 AM,92 F,70 F,48 %,N,5 mph,0 mph,29.5 in,0.0 in,0.0 in,Partly Cloudy
12,7:51 AM,91 F,70 F,50 %,VAR,5 mph,0 mph,29.5 in,0.0 in,0.0 in,Partly Cloudy
13,8:24 AM,89 F,70 F,53 %,NW,8 mph,0 mph,29.5 in,0.0 in,0.0 in,Thunder
14,8:47 AM,82 F,75 F,79 %,WSW,10 mph,22 mph,29.5 in,0.0 in,0.0 in,Thunder
15,8:51 AM,81 F,74 F,79 %,WSW,10 mph,0 mph,29.5 in,0.0 in,0.0 in,Light Rain with Thunder
16,9:19 AM,80 F,68 F,67 %,SW,7 mph,0 mph,29.5 in,0.0 in,0.0 in,Thunder in the Vicinity
17,9:37 AM,79 F,68 F,69 %,S,9 mph,0 mph,29.5 in,0.0 in,0.0 in,Thunder
18,9:51 AM,78 F,69 F,74 %,SSE,10 mph,0 mph,29.5 in,0.0 in,0.0 in,Cloudy
19,10:51 AM,78 F,69 F,74 %,S,8 mph,0 mph,29.5 in,0.0 in,0.0 in,Mostly Cloudy
20,11:51 AM,80 F,69 F,69 %,SSW,7 mph,0 mph,29.5 in,0.0 in,0.0 in,Cloudy
21,12:51 PM,79 F,72 F,79 %,SSW,5 mph,0 mph,29.5 in,0.0 in,0.0 in,Light Rain
22,1:51 PM,80 F,73 F,79 %,WSW,5 mph,0 mph,29.5 in,0.0 in,0.0 in,Mostly Cloudy
23,2:51 PM,80 F,73 F,79 %,WSW,6 mph,0 mph,29.5 in,0.0 in,0.0 in,Mostly Cloudy
24,3:51 PM,79 F,69 F,72 %,W,7 mph,0 mph,29.5 in,0.0 in,0.0 in,Mostly Cloudy
25,4:51 PM,78 F,70 F,76 %,W,3 mph,0 mph,29.5 in,0.0 in,0.0 in,Mostly Cloudy
26,5:51 PM,77 F,70 F,79 %,WNW,6 mph,0 mph,29.5 in,0.0 in,0.0 in,Partly Cloudy
27,6:51 PM,77 F,66 F,69 %,N,13 mph,0 mph,29.5 in,0.0 in,0.0 in,Partly Cloudy
