,Temperature (° F),Actual,Historic Avg.,Record,Unnamed: 4,lat,lon,station_name,station_id,date
0,High Temp,93,81,97,,41.88,-87.64,West Loop-Old St.Pats,KILCHICA130,8-28-2018
1,Low Temp,69,65,46,,41.88,-87.64,West Loop-Old St.Pats,KILCHICA130,8-28-2018
2,Day Average Temp,81,73,-,,41.88,-87.64,West Loop-Old St.Pats,KILCHICA130,8-28-2018
3,Precipitation,0.84,0.12,1.57,,41.88,-87.64,West Loop-Old St.Pats,KILCHICA130,8-28-2018
4,Month to Date,2.51,3.62,-,,41.88,-87.64,West Loop-Old St.Pats,KILCHICA130,8-28-2018
5,Year to Date,24.31,26.18,-,,41.88,-87.64,West Loop-Old St.Pats,KILCHICA130,8-28-2018
6,Heating Degree Days,0,0,-,,41.88,-87.64,West Loop-Old St.Pats,KILCHICA130,8-28-2018
7,HDD Month to Date,0,0,-,,41.88,-87.64,West Loop-Old St.Pats,KILCHICA130,8-28-2018
8,HDD Since July 1,0,1,-,,41.88,-87.64,West Loop-Old St.Pats,KILCHICA130,8-28-2018
9,Cooling Degree Days,16,8,-,,41.88,-87.64,West Loop-Old St.Pats,KILCHICA130,8-28-2018
10,CDD Month to Date,371,264,-,,41.88,-87.64,West Loop-Old St.Pats,KILCHICA130,8-28-2018
11,CDD Year to Date,1145,886,-,,41.88,-87.64,West Loop-Old St.Pats,KILCHICA130,8-28-2018
12,Growing Degree Days,30,-,-,,41.88,-87.64,West Loop-Old St.Pats,KILCHICA130,8-28-2018
13,Dew Point,71,-,-,,41.88,-87.64,West Loop-Old St.Pats,KILCHICA130,8-28-2018
14,High,74,-,-,,41.88,-87.64,West Loop-Old St.Pats,KILCHICA130,8-28-2018
15,Low,68,-,-,,41.88,-87.64,West Loop-Old St.Pats,KILCHICA130,8-28-2018
16,Average,71,-,-,,41.88,-87.64,West Loop-Old St.Pats,KILCHICA130,8-28-2018
17,Max Wind Speed,35,-,-,,41.88,-87.64,West Loop-Old St.Pats,KILCHICA130,8-28-2018
18,Visibility,10,-,-,,41.88,-87.64,West Loop-Old St.Pats,KILCHICA130,8-28-2018
19,Sea Level Pressure,30.02,-,-,,41.88,-87.64,West Loop-Old St.Pats,KILCHICA130,8-28-2018
20,Actual Time,13h 19m,6:13 AM,7:33 PM,,41.88,-87.64,West Loop-Old St.Pats,KILCHICA130,8-28-2018
21,Civil Twilight,,5:44 AM,8:01 PM,,41.88,-87.64,West Loop-Old St.Pats,KILCHICA130,8-28-2018
22,Nautical Twilight,,5:09 AM,8:36 PM,,41.88,-87.64,West Loop-Old St.Pats,KILCHICA130,8-28-2018
23,Astronomical Twilight,,4:33 AM,9:13 PM,,41.88,-87.64,West Loop-Old St.Pats,KILCHICA130,8-28-2018
24,Moon: waning gibbous,,8:55 PM,8:07 AM,,41.88,-87.64,West Loop-Old St.Pats,KILCHICA130,8-28-2018
