Chicago O'Hare International Airport,KORD,41.98,-87.91
Garfield Ridge,KILCHICA513,41.79,-87.78
Long,KILBURBA6,41.75,-87.76
Morgan Park,KILCHICA119,41.69,-87.69
Chicago Ridge Emergency,KILCHICA107,41.70,-87.78
