,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Precip Accum,Condition,lat,lon,station_name,station_id,date
0,7:53 PM,75 F,63 F,66 %,S,14 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,41.82,-87.7,Brighton Park,KILCHICA225,10-10-2018
1,8:53 PM,74 F,63 F,68 %,S,13 mph,25 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,41.82,-87.7,Brighton Park,KILCHICA225,10-10-2018
2,9:53 PM,74 F,63 F,68 %,S,15 mph,0 mph,29.1 in,0.0 in,0.0 in,Partly Cloudy,41.82,-87.7,Brighton Park,KILCHICA225,10-10-2018
3,10:53 PM,73 F,63 F,71 %,S,13 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,41.82,-87.7,Brighton Park,KILCHICA225,10-10-2018
4,11:53 PM,72 F,63 F,73 %,S,13 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,41.82,-87.7,Brighton Park,KILCHICA225,10-10-2018
5,12:53 AM,71 F,62 F,73 %,S,13 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,41.82,-87.7,Brighton Park,KILCHICA225,10-10-2018
6,1:53 AM,71 F,62 F,73 %,S,14 mph,0 mph,29.1 in,0.0 in,0.1 in,Mostly Cloudy,41.82,-87.7,Brighton Park,KILCHICA225,10-10-2018
7,2:53 AM,71 F,62 F,73 %,S,13 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,41.82,-87.7,Brighton Park,KILCHICA225,10-10-2018
8,3:53 AM,73 F,64 F,73 %,S,15 mph,29 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,41.82,-87.7,Brighton Park,KILCHICA225,10-10-2018
9,4:41 AM,73 F,64 F,73 %,S,17 mph,26 mph,29.1 in,0.0 in,0.0 in,Cloudy,41.82,-87.7,Brighton Park,KILCHICA225,10-10-2018
10,4:53 AM,72 F,65 F,78 %,S,15 mph,24 mph,29.1 in,0.0 in,0.0 in,Light Rain,41.82,-87.7,Brighton Park,KILCHICA225,10-10-2018
11,5:53 AM,71 F,67 F,87 %,S,12 mph,25 mph,29.0 in,0.0 in,0.0 in,Cloudy,41.82,-87.7,Brighton Park,KILCHICA225,10-10-2018
12,6:33 AM,72 F,67 F,84 %,S,13 mph,23 mph,29.0 in,0.0 in,0.0 in,Cloudy,41.82,-87.7,Brighton Park,KILCHICA225,10-10-2018
13,6:53 AM,72 F,67 F,84 %,S,13 mph,25 mph,29.0 in,0.0 in,0.0 in,Cloudy,41.82,-87.7,Brighton Park,KILCHICA225,10-10-2018
14,7:26 AM,73 F,68 F,84 %,S,13 mph,0 mph,29.0 in,0.0 in,0.0 in,Light Rain,41.82,-87.7,Brighton Park,KILCHICA225,10-10-2018
