,Temperature (° F),Actual,Historic Avg.,Record,Unnamed: 4,lat,lon,station_name,station_id,date
0,High Temp,41.0,32,60,,41.82,-87.7,Brighton Park,KILCHICA225,1-3-2019
1,Low Temp,25.0,19,-12,,41.82,-87.7,Brighton Park,KILCHICA225,1-3-2019
2,Day Average Temp,33.0,25,-,,41.82,-87.7,Brighton Park,KILCHICA225,1-3-2019
3,Precipitation,0.0,0.07,0.79,,41.82,-87.7,Brighton Park,KILCHICA225,1-3-2019
4,Month to Date,1e-16,0.23,-,,41.82,-87.7,Brighton Park,KILCHICA225,1-3-2019
5,Year to Date,1e-16,0.23,-,,41.82,-87.7,Brighton Park,KILCHICA225,1-3-2019
6,Heating Degree Days,32.0,40,-,,41.82,-87.7,Brighton Park,KILCHICA225,1-3-2019
7,HDD Month to Date,100.0,119,-,,41.82,-87.7,Brighton Park,KILCHICA225,1-3-2019
8,HDD Since July 1,2368.0,2370,-,,41.82,-87.7,Brighton Park,KILCHICA225,1-3-2019
9,Cooling Degree Days,0.0,0,-,,41.82,-87.7,Brighton Park,KILCHICA225,1-3-2019
10,CDD Month to Date,0.0,0,-,,41.82,-87.7,Brighton Park,KILCHICA225,1-3-2019
11,CDD Year to Date,0.0,0,-,,41.82,-87.7,Brighton Park,KILCHICA225,1-3-2019
12,Growing Degree Days,0.0,-,-,,41.82,-87.7,Brighton Park,KILCHICA225,1-3-2019
13,Dew Point,25.0,-,-,,41.82,-87.7,Brighton Park,KILCHICA225,1-3-2019
14,High,30.0,-,-,,41.82,-87.7,Brighton Park,KILCHICA225,1-3-2019
15,Low,21.0,-,-,,41.82,-87.7,Brighton Park,KILCHICA225,1-3-2019
16,Average,25.0,-,-,,41.82,-87.7,Brighton Park,KILCHICA225,1-3-2019
17,Max Wind Speed,17.0,-,-,,41.82,-87.7,Brighton Park,KILCHICA225,1-3-2019
18,Visibility,10.0,-,-,,41.82,-87.7,Brighton Park,KILCHICA225,1-3-2019
19,Sea Level Pressure,30.1,-,-,,41.82,-87.7,Brighton Park,KILCHICA225,1-3-2019
