,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Precip Accum,Condition,lat,lon,station_name,station_id,date
0,7:53 PM,28 F,19 F,69 %,CALM,0 mph,0 mph,29.4 in,0.0 in,0.0 in,Fair,41.93,-87.65,Depaul Geography-Lincoln Park,KILCHICA52,4-8-2018
1,8:53 PM,26 F,18 F,71 %,WNW,3 mph,0 mph,29.4 in,0.0 in,0.0 in,Fair,41.93,-87.65,Depaul Geography-Lincoln Park,KILCHICA52,4-8-2018
2,9:53 PM,27 F,19 F,72 %,CALM,0 mph,0 mph,29.4 in,0.0 in,0.0 in,Fair,41.93,-87.65,Depaul Geography-Lincoln Park,KILCHICA52,4-8-2018
3,10:53 PM,27 F,16 F,63 %,NNW,7 mph,0 mph,29.4 in,0.0 in,0.0 in,Fair,41.93,-87.65,Depaul Geography-Lincoln Park,KILCHICA52,4-8-2018
4,11:53 PM,26 F,14 F,60 %,NNW,5 mph,0 mph,29.4 in,0.0 in,0.0 in,Fair,41.93,-87.65,Depaul Geography-Lincoln Park,KILCHICA52,4-8-2018
5,12:53 AM,24 F,12 F,60 %,NW,5 mph,0 mph,29.4 in,0.0 in,0.0 in,Fair,41.93,-87.65,Depaul Geography-Lincoln Park,KILCHICA52,4-8-2018
6,1:53 AM,24 F,13 F,62 %,WNW,3 mph,0 mph,29.4 in,0.0 in,0.0 in,Fair,41.93,-87.65,Depaul Geography-Lincoln Park,KILCHICA52,4-8-2018
7,2:53 AM,29 F,12 F,49 %,N,7 mph,0 mph,29.4 in,0.0 in,0.0 in,Fair,41.93,-87.65,Depaul Geography-Lincoln Park,KILCHICA52,4-8-2018
8,3:53 AM,32 F,11 F,42 %,NNE,3 mph,0 mph,29.4 in,0.0 in,0.0 in,Fair,41.93,-87.65,Depaul Geography-Lincoln Park,KILCHICA52,4-8-2018
9,4:53 AM,33 F,8 F,35 %,CALM,0 mph,0 mph,29.5 in,0.0 in,0.0 in,Fair,41.93,-87.65,Depaul Geography-Lincoln Park,KILCHICA52,4-8-2018
10,5:53 AM,35 F,7 F,31 %,CALM,0 mph,0 mph,29.4 in,0.0 in,0.0 in,Fair,41.93,-87.65,Depaul Geography-Lincoln Park,KILCHICA52,4-8-2018
11,6:53 AM,36 F,5 F,27 %,CALM,0 mph,0 mph,29.4 in,0.0 in,0.0 in,Partly Cloudy,41.93,-87.65,Depaul Geography-Lincoln Park,KILCHICA52,4-8-2018
12,7:53 AM,39 F,6 F,26 %,ENE,8 mph,0 mph,29.4 in,0.0 in,0.0 in,Mostly Cloudy,41.93,-87.65,Depaul Geography-Lincoln Park,KILCHICA52,4-8-2018
13,8:53 AM,38 F,14 F,38 %,E,13 mph,0 mph,29.4 in,0.0 in,0.0 in,Mostly Cloudy,41.93,-87.65,Depaul Geography-Lincoln Park,KILCHICA52,4-8-2018
14,9:53 AM,39 F,15 F,38 %,ENE,10 mph,0 mph,29.4 in,0.0 in,0.0 in,Mostly Cloudy,41.93,-87.65,Depaul Geography-Lincoln Park,KILCHICA52,4-8-2018
15,10:53 AM,38 F,13 F,36 %,NE,10 mph,0 mph,29.4 in,0.0 in,0.0 in,Mostly Cloudy,41.93,-87.65,Depaul Geography-Lincoln Park,KILCHICA52,4-8-2018
16,11:53 AM,38 F,15 F,39 %,ENE,12 mph,0 mph,29.4 in,0.0 in,0.0 in,Cloudy,41.93,-87.65,Depaul Geography-Lincoln Park,KILCHICA52,4-8-2018
17,12:53 PM,36 F,16 F,44 %,ENE,14 mph,0 mph,29.4 in,0.0 in,0.0 in,Cloudy,41.93,-87.65,Depaul Geography-Lincoln Park,KILCHICA52,4-8-2018
18,1:53 PM,35 F,17 F,48 %,ENE,13 mph,0 mph,29.4 in,0.0 in,0.0 in,Cloudy,41.93,-87.65,Depaul Geography-Lincoln Park,KILCHICA52,4-8-2018
19,2:53 PM,35 F,19 F,52 %,E,13 mph,0 mph,29.4 in,0.0 in,0.0 in,Cloudy,41.93,-87.65,Depaul Geography-Lincoln Park,KILCHICA52,4-8-2018
20,3:53 PM,35 F,21 F,57 %,ENE,12 mph,0 mph,29.4 in,0.0 in,0.0 in,Cloudy,41.93,-87.65,Depaul Geography-Lincoln Park,KILCHICA52,4-8-2018
21,4:53 PM,35 F,22 F,59 %,ENE,9 mph,0 mph,29.4 in,0.0 in,0.0 in,Cloudy,41.93,-87.65,Depaul Geography-Lincoln Park,KILCHICA52,4-8-2018
22,5:53 PM,34 F,24 F,67 %,NE,9 mph,0 mph,29.4 in,0.0 in,0.0 in,Light Snow,41.93,-87.65,Depaul Geography-Lincoln Park,KILCHICA52,4-8-2018
23,6:53 PM,32 F,28 F,85 %,ENE,8 mph,0 mph,29.4 in,0.0 in,0.0 in,Light Snow,41.93,-87.65,Depaul Geography-Lincoln Park,KILCHICA52,4-8-2018
