,Temperature (° F),Actual,Historic Avg.,Record,Unnamed: 4,lat,lon,station_name,station_id,date
0,High Temp,83.0,79,95,,41.72,-87.71,Evergreen Park,KILEVERG5,6-13-2018
1,Low Temp,65.0,62,44,,41.72,-87.71,Evergreen Park,KILEVERG5,6-13-2018
2,Day Average Temp,74.0,70,-,,41.72,-87.71,Evergreen Park,KILEVERG5,6-13-2018
3,Precipitation,0.0,0.15,4.64,,41.72,-87.71,Evergreen Park,KILEVERG5,6-13-2018
4,Month to Date,2.46,1.9,-,,41.72,-87.71,Evergreen Park,KILEVERG5,6-13-2018
5,Year to Date,14.72,16.39,-,,41.72,-87.71,Evergreen Park,KILEVERG5,6-13-2018
6,Heating Degree Days,0.0,1,-,,41.72,-87.71,Evergreen Park,KILEVERG5,6-13-2018
7,HDD Month to Date,1.0,22,-,,41.72,-87.71,Evergreen Park,KILEVERG5,6-13-2018
8,HDD Since July 1,5884.0,5981,-,,41.72,-87.71,Evergreen Park,KILEVERG5,6-13-2018
9,Cooling Degree Days,9.0,6,-,,41.72,-87.71,Evergreen Park,KILEVERG5,6-13-2018
10,CDD Month to Date,44.0,61,-,,41.72,-87.71,Evergreen Park,KILEVERG5,6-13-2018
11,CDD Year to Date,208.0,135,-,,41.72,-87.71,Evergreen Park,KILEVERG5,6-13-2018
12,Growing Degree Days,25.0,-,-,,41.72,-87.71,Evergreen Park,KILEVERG5,6-13-2018
13,Dew Point,61.0,-,-,,41.72,-87.71,Evergreen Park,KILEVERG5,6-13-2018
14,High,70.0,-,-,,41.72,-87.71,Evergreen Park,KILEVERG5,6-13-2018
15,Low,46.0,-,-,,41.72,-87.71,Evergreen Park,KILEVERG5,6-13-2018
16,Average,61.0,-,-,,41.72,-87.71,Evergreen Park,KILEVERG5,6-13-2018
17,Max Wind Speed,18.0,-,-,,41.72,-87.71,Evergreen Park,KILEVERG5,6-13-2018
18,Visibility,10.0,-,-,,41.72,-87.71,Evergreen Park,KILEVERG5,6-13-2018
19,Sea Level Pressure,30.0,-,-,,41.72,-87.71,Evergreen Park,KILEVERG5,6-13-2018
