,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Precip Accum,Condition,lat,lon,station_name,station_id,date
0,7:13 PM,67 F,64 F,90 %,ESE,7 mph,0 mph,29.3 in,0.0 in,0.0 in,Thunder,41.72,-87.71,Evergreen Park,KILEVERG5,5-3-2018
1,7:25 PM,67 F,64 F,90 %,NW,15 mph,0 mph,29.3 in,0.1 in,0.0 in,T-Storm,41.72,-87.71,Evergreen Park,KILEVERG5,5-3-2018
2,7:36 PM,66 F,64 F,93 %,NW,10 mph,0 mph,29.3 in,0.1 in,0.0 in,Light Rain with Thunder,41.72,-87.71,Evergreen Park,KILEVERG5,5-3-2018
3,7:53 PM,66 F,64 F,93 %,WNW,5 mph,0 mph,29.3 in,0.1 in,0.0 in,Light Rain,41.72,-87.71,Evergreen Park,KILEVERG5,5-3-2018
4,8:53 PM,67 F,64 F,90 %,SSE,3 mph,0 mph,29.2 in,0.0 in,0.0 in,Cloudy,41.72,-87.71,Evergreen Park,KILEVERG5,5-3-2018
5,9:53 PM,66 F,64 F,93 %,SE,9 mph,0 mph,29.2 in,0.0 in,0.0 in,Cloudy,41.72,-87.71,Evergreen Park,KILEVERG5,5-3-2018
6,10:53 PM,66 F,64 F,93 %,NW,6 mph,0 mph,29.2 in,0.0 in,0.0 in,Light Rain with Thunder,41.72,-87.71,Evergreen Park,KILEVERG5,5-3-2018
7,11:13 PM,65 F,65 F,100 %,W,3 mph,0 mph,29.2 in,0.0 in,0.0 in,Light Rain with Thunder,41.72,-87.71,Evergreen Park,KILEVERG5,5-3-2018
8,11:34 PM,66 F,65 F,96 %,W,3 mph,0 mph,29.2 in,0.1 in,0.0 in,Heavy Rain,41.72,-87.71,Evergreen Park,KILEVERG5,5-3-2018
9,11:53 PM,65 F,64 F,97 %,CALM,0 mph,0 mph,29.2 in,0.2 in,0.0 in,Light Rain,41.72,-87.71,Evergreen Park,KILEVERG5,5-3-2018
10,12:14 AM,65 F,63 F,93 %,NNE,5 mph,0 mph,29.2 in,0.0 in,0.0 in,Light Rain,41.72,-87.71,Evergreen Park,KILEVERG5,5-3-2018
11,12:53 AM,65 F,64 F,97 %,ESE,8 mph,0 mph,29.2 in,0.0 in,0.0 in,Cloudy,41.72,-87.71,Evergreen Park,KILEVERG5,5-3-2018
12,12:59 AM,65 F,64 F,97 %,ESE,7 mph,0 mph,29.2 in,0.0 in,0.0 in,Fog,41.72,-87.71,Evergreen Park,KILEVERG5,5-3-2018
13,1:53 AM,65 F,64 F,97 %,SE,8 mph,0 mph,29.2 in,0.0 in,0.5 in,Fog,41.72,-87.71,Evergreen Park,KILEVERG5,5-3-2018
14,2:15 AM,65 F,63 F,93 %,SSE,7 mph,0 mph,29.2 in,0.0 in,0.0 in,Cloudy,41.72,-87.71,Evergreen Park,KILEVERG5,5-3-2018
15,2:53 AM,66 F,63 F,90 %,CALM,0 mph,0 mph,29.3 in,0.0 in,0.0 in,Cloudy,41.72,-87.71,Evergreen Park,KILEVERG5,5-3-2018
16,3:26 AM,66 F,64 F,93 %,NNW,9 mph,0 mph,29.3 in,0.0 in,0.0 in,Cloudy,41.72,-87.71,Evergreen Park,KILEVERG5,5-3-2018
