,Temperature (° F),Actual,Historic Avg.,Record,Unnamed: 4,lat,lon,station_name,station_id,date
0,High Temp,65.0,72,94,,41.79,-87.59,Hyde Park,KILCHICA505,5-21-2018
1,Low Temp,50.0,53,34,,41.79,-87.59,Hyde Park,KILCHICA505,5-21-2018
2,Day Average Temp,58.0,62,-,,41.79,-87.59,Hyde Park,KILCHICA505,5-21-2018
3,Precipitation,1.23,0.14,1.79,,41.79,-87.59,Hyde Park,KILCHICA505,5-21-2018
4,Month to Date,3.79,2.72,-,,41.79,-87.59,Hyde Park,KILCHICA505,5-21-2018
5,Year to Date,11.86,13.08,-,,41.79,-87.59,Hyde Park,KILCHICA505,5-21-2018
6,Heating Degree Days,7.0,5,-,,41.79,-87.59,Hyde Park,KILCHICA505,5-21-2018
7,HDD Month to Date,74.0,150,-,,41.79,-87.59,Hyde Park,KILCHICA505,5-21-2018
8,HDD Since July 1,5879.0,5921,-,,41.79,-87.59,Hyde Park,KILCHICA505,5-21-2018
9,Cooling Degree Days,0.0,2,-,,41.79,-87.59,Hyde Park,KILCHICA505,5-21-2018
10,CDD Month to Date,45.0,31,-,,41.79,-87.59,Hyde Park,KILCHICA505,5-21-2018
11,CDD Year to Date,45.0,44,-,,41.79,-87.59,Hyde Park,KILCHICA505,5-21-2018
12,Growing Degree Days,7.0,-,-,,41.79,-87.59,Hyde Park,KILCHICA505,5-21-2018
13,Dew Point,56.0,-,-,,41.79,-87.59,Hyde Park,KILCHICA505,5-21-2018
14,High,62.0,-,-,,41.79,-87.59,Hyde Park,KILCHICA505,5-21-2018
15,Low,45.0,-,-,,41.79,-87.59,Hyde Park,KILCHICA505,5-21-2018
16,Average,56.0,-,-,,41.79,-87.59,Hyde Park,KILCHICA505,5-21-2018
17,Max Wind Speed,20.0,-,-,,41.79,-87.59,Hyde Park,KILCHICA505,5-21-2018
18,Visibility,10.0,-,-,,41.79,-87.59,Hyde Park,KILCHICA505,5-21-2018
19,Sea Level Pressure,30.21,-,-,,41.79,-87.59,Hyde Park,KILCHICA505,5-21-2018
