,Temperature (° F),Actual,Historic Avg.,Record,Unnamed: 4,lat,lon,station_name,station_id,date
0,High Temp,84.0,84,107,,41.84,-87.65,Bridgeport-Union Lofts,KILCHICA561,7-24-2018
1,Low Temp,67.0,68,55,,41.84,-87.65,Bridgeport-Union Lofts,KILCHICA561,7-24-2018
2,Day Average Temp,76.0,76,-,,41.84,-87.65,Bridgeport-Union Lofts,KILCHICA561,7-24-2018
3,Precipitation,0.0,0.14,4.77,,41.84,-87.65,Bridgeport-Union Lofts,KILCHICA561,7-24-2018
4,Month to Date,1.93,3.03,-,,41.84,-87.65,Bridgeport-Union Lofts,KILCHICA561,7-24-2018
5,Year to Date,21.79,21.58,-,,41.84,-87.65,Bridgeport-Union Lofts,KILCHICA561,7-24-2018
6,Heating Degree Days,0.0,0,-,,41.84,-87.65,Bridgeport-Union Lofts,KILCHICA561,7-24-2018
7,HDD Month to Date,0.0,0,-,,41.84,-87.65,Bridgeport-Union Lofts,KILCHICA561,7-24-2018
8,HDD Since July 1,0.0,0,-,,41.84,-87.65,Bridgeport-Union Lofts,KILCHICA561,7-24-2018
9,Cooling Degree Days,11.0,11,-,,41.84,-87.65,Bridgeport-Union Lofts,KILCHICA561,7-24-2018
10,CDD Month to Date,315.0,262,-,,41.84,-87.65,Bridgeport-Union Lofts,KILCHICA561,7-24-2018
11,CDD Year to Date,714.0,546,-,,41.84,-87.65,Bridgeport-Union Lofts,KILCHICA561,7-24-2018
12,Growing Degree Days,26.0,-,-,,41.84,-87.65,Bridgeport-Union Lofts,KILCHICA561,7-24-2018
13,Dew Point,64.0,-,-,,41.84,-87.65,Bridgeport-Union Lofts,KILCHICA561,7-24-2018
14,High,67.0,-,-,,41.84,-87.65,Bridgeport-Union Lofts,KILCHICA561,7-24-2018
15,Low,60.0,-,-,,41.84,-87.65,Bridgeport-Union Lofts,KILCHICA561,7-24-2018
16,Average,64.0,-,-,,41.84,-87.65,Bridgeport-Union Lofts,KILCHICA561,7-24-2018
17,Max Wind Speed,13.0,-,-,,41.84,-87.65,Bridgeport-Union Lofts,KILCHICA561,7-24-2018
18,Visibility,10.0,-,-,,41.84,-87.65,Bridgeport-Union Lofts,KILCHICA561,7-24-2018
19,Sea Level Pressure,29.98,-,-,,41.84,-87.65,Bridgeport-Union Lofts,KILCHICA561,7-24-2018
